,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
166,Regular Season,2015-06-24,Toronto FC,Montreal Impact,BMO Field,24895,3,1,Toronto FC,2015
167,Regular Season,2015-06-24,Chicago Fire,D.C. United,SeatGeek Stadium,11833,0,1,D.C. United,2015
168,Regular Season,2015-06-24,LA Galaxy,Portland Timbers,Dignity Health Sports Park,21207,5,0,LA Galaxy,2015
169,Regular Season,2015-06-26,FC Dallas,Houston Dynamo,Toyota Stadium,15037,2,0,FC Dallas,2015
170,Regular Season,2015-06-27,Toronto FC,D.C. United,BMO Field,16382,0,0,,2015
171,Regular Season,2015-06-27,Philadelphia,Montreal Impact,Subaru Park,17531,2,2,,2015
172,Regular Season,2015-06-27,New England,Vancouver,Gillette Stadium,16017,1,2,Vancouver,2015
173,Regular Season,2015-06-27,Sporting KC,Colorado Rapids,Children's Mercy Park,19835,2,0,Sporting KC,2015
174,Regular Season,2015-06-27,Real Salt Lake,Columbus Crew,Rio Tinto Stadium,20171,2,2,,2015
175,Regular Season,2015-06-27,San Jose,LA Galaxy,Stanford Stadium,50422,3,1,San Jose,2015
176,Regular Season,2015-06-28,NYCFC,NY Red Bulls,Yankee Stadium,48047,1,3,NY Red Bulls,2015
177,Regular Season,2015-06-28,Portland Timbers,Seattle,Providence Park,21144,4,1,Portland Timbers,2015
178,Regular Season,2015-07-03,Houston Dynamo,Chicago Fire,BBVA Compass Stadium,22651,1,1,,2015
179,Regular Season,2015-07-03,Seattle,D.C. United,CenturyLink Field,40410,1,0,Seattle,2015
181,Regular Season,2015-07-04,Columbus Crew,NY Red Bulls,MAPFRE Stadium,14429,2,1,Columbus Crew,2015
182,Regular Season,2015-07-04,Montreal Impact,NYCFC,Saputo Stadium,18112,1,2,NYCFC,2015
183,Regular Season,2015-07-04,Colorado Rapids,Vancouver,Dick's Sporting Goods Park,18356,2,1,Colorado Rapids,2015
184,Regular Season,2015-07-04,FC Dallas,New England,Toyota Stadium,19140,3,0,FC Dallas,2015
185,Regular Season,2015-07-04,Real Salt Lake,Orlando City,Rio Tinto Stadium,20956,1,1,,2015
186,Regular Season,2015-07-04,LA Galaxy,Toronto FC,Dignity Health Sports Park,27000,4,0,LA Galaxy,2015
187,Regular Season,2015-07-05,Portland Timbers,San Jose,Providence Park,21144,1,0,Portland Timbers,2015
188,Regular Season,2015-07-10,San Jose,Houston Dynamo,Avaya Stadium,18000,0,2,Houston Dynamo,2015
189,Regular Season,2015-07-11,NY Red Bulls,New England,Red Bull Arena,18640,4,1,NY Red Bulls,2015
190,Regular Season,2015-07-11,Philadelphia,Portland Timbers,Subaru Park,18722,3,0,Philadelphia,2015
191,Regular Season,2015-07-11,Orlando City,FC Dallas,Camping World Stadium,30513,0,2,FC Dallas,2015
192,Regular Season,2015-07-11,Montreal Impact,Columbus Crew,Saputo Stadium,15304,3,0,Montreal Impact,2015
193,Regular Season,2015-07-11,Chicago Fire,Seattle,SeatGeek Stadium,18528,1,0,Chicago Fire,2015
194,Regular Season,2015-07-11,Colorado Rapids,Real Salt Lake,Dick's Sporting Goods Park,15248,3,1,Colorado Rapids,2015
195,Regular Season,2015-07-12,NYCFC,Toronto FC,Yankee Stadium,27533,4,4,,2015
196,Regular Season,2015-07-12,Vancouver,Sporting KC,BC Place,21000,0,1,Sporting KC,2015
197,Regular Season,2015-07-15,Chicago Fire,Columbus Crew,SeatGeek Stadium,14092,0,1,Columbus Crew,2015
198,Regular Season,2015-07-17,LA Galaxy,San Jose,Dignity Health Sports Park,27000,5,2,LA Galaxy,2015
199,Regular Season,2015-07-18,Toronto FC,Philadelphia,BMO Field,25032,2,1,Toronto FC,2015
200,Regular Season,2015-07-18,Orlando City,NY Red Bulls,Camping World Stadium,33518,0,2,NY Red Bulls,2015
201,Regular Season,2015-07-18,New England,NYCFC,Gillette Stadium,28811,1,0,New England,2015
202,Regular Season,2015-07-18,Sporting KC,Montreal Impact,Children's Mercy Park,19070,2,1,Sporting KC,2015
203,Regular Season,2015-07-18,FC Dallas,D.C. United,Toyota Stadium,16215,2,1,FC Dallas,2015
204,Regular Season,2015-07-18,Seattle,Colorado Rapids,CenturyLink Field,40403,0,1,Colorado Rapids,2015
205,Regular Season,2015-07-18,Real Salt Lake,Houston Dynamo,Rio Tinto Stadium,20174,2,0,Real Salt Lake,2015
207,Regular Season,2015-07-18,Portland Timbers,Vancouver,Providence Park,21144,1,1,,2015
208,Regular Season,2015-07-19,Columbus Crew,Chicago Fire,MAPFRE Stadium,15455,3,1,Columbus Crew,2015
209,Regular Season,2015-07-24,Real Salt Lake,Sporting KC,Rio Tinto Stadium,20809,2,1,Real Salt Lake,2015
210,Regular Season,2015-07-25,Columbus Crew,Toronto FC,MAPFRE Stadium,21324,3,3,,2015
211,Regular Season,2015-07-25,Montreal Impact,Seattle,Saputo Stadium,17209,1,0,Montreal Impact,2015
212,Regular Season,2015-07-25,Chicago Fire,New England,SeatGeek Stadium,14159,2,2,,2015
213,Regular Season,2015-07-25,FC Dallas,Portland Timbers,Toyota Stadium,15992,4,1,FC Dallas,2015
